,Location,Month,OriginalTweet,Country,Cleaned_Tweet,TweetAt
10945,,Mar,"The local grocery gets new shipments of toilet paper daily, but around 90 people line up outside before the store opens at 7AM. The store's supply disappears quickly after opening. Hot dogs, bread, paper products, &amp; bleach are still gone today.  #coronavirus #corona #Covid_19",Italia,the local grocery gets new shipments of toilet paper daily but around   people line up outside before the store opens at   the stores supply disappears quickly after opening hot dogs bread paper products amp bleach are still gone today  coronavirus corona  ,2020-03-20
5348,,Mar,"Please avoid unnecessary movement and enjoy the convenience of online shopping. Wash your hands regularly and avoid touching your nose,mouth, and eyes.  #CoronavirusOutbreak #coronaviruske #Coronavid19 #Kenya #Covid_19 #WashYourHands https://t.co/125l5k9QxR",Italia,please avoid unnecessary movement and enjoy the convenience of online shopping wash your hands regularly and avoid touching your nosemouth and eyes  coronavirusoutbreak coronaviruske   kenya   washyourhands ,2020-03-18
20396,,Mar,"Scared to go to the grocery store due to COVID-19 :(

Thank god I have a box of Trump steaks in my chest freezer",Italia,scared to go to the grocery store due to   thank god i have a box of trump steaks in my chest freezer,2020-03-25
18395,"Avondale Estates, GA (Atlanta)",Mar,Wanna feel like a teenager again? Hang around outside a grocery store &amp; ask someone to buy you alcohol because you aren't allowed inside. ? #QuaratineLife #coronavirus https://t.co/R50fNq8Hh7,,wanna feel like a teenager again hang around outside a grocery store amp ask someone to buy you alcohol because you arent allowed inside  quaratinelife coronavirus ,2020-03-23
4965,usa,Mar,"People talk about a lockdown or quarantine but where I live there's a ton of traffic out, lots of cars in grocery store and restaurant parking lots. 
People coming and going everywhere.
#Coronavirus
#Texas",United States,people talk about a lockdown or quarantine but where i live theres a ton of traffic out lots of cars in grocery store and restaurant parking lots people coming and going everywherecoronavirustexas,2020-03-18
1577,,Mar,Are farmer s markets next to shutdown amid the outbreak The result could be huge losses in income for who rely on farmer s markets amp direct to consumer sales,Italia,are farmer s markets next to shutdown amid the outbreak the result could be huge losses in income for who rely on farmer s markets amp direct to consumer sales,2020-03-17
20833,,Mar,the 2 Rolls parody played earlier on,Italia,the   rolls parody played earlier on,2020-03-25
8376,"Easley, SC",Mar,"So today at the grocery store wasn't as bad as it was Sunday but as far as tissue paper and paper towels its still clean out
#coronavirus 
#COROVID19",United States,so today at the grocery store wasnt as bad as it was sunday but as far as tissue paper and paper towels its still clean outcoronavirus  ,2020-03-19
24763,"Bristol, UK",Mar,Bristol @Memorial_Wood has lowered prices and is providing solutions for those who are no longer allowed to gather friends and family together as they would wish when a loved one dies. Find out more from our latest piece of coverage: https://t.co/sr228fEzos #Coronavirus #Bristol,United Kingdom,bristol memorialwood has lowered prices and is providing solutions for those who are no longer allowed to gather friends and family together as they would wish when a loved one dies find out more from our latest piece of coverage  coronavirus bristol,2020-03-27
6677,Hoogeveen,Mar,"A Supermarket has a briljante trick against hoarding products. First product 5,5 euro; second one 134,- euro! Genius! #CoronaCrisis #coronavirus #COVID19 #corona #COVID2019",Nederland,a supermarket has a briljante trick against hoarding products first product   euro second one   euro genius coronacrisis coronavirus   corona  ,2020-03-19
24601,Nairobi,Mar,Oil prices fall from $66 to $24. Why is fuel price in Kenya still at kshs110. @dailynation @DavidNdii @EtalePhilip @EPRA_Ke @OAmollo @SenMutula @skmusyoka @davidmakali1 @HonAdenDuale @StateHouseKenya. We are watching amid covid-19 effects,Kenya,oil prices fall from   to   why is fuel price in kenya still at   dailynation davidndii etalephilip eprake oamollo senmutula skmusyoka   honadenduale statehousekenya we are watching amid   effects,2020-03-26
4877,"Karachi, Pakistan",Mar,Is there anyone else who is sitting at home and blowing all their money online shopping?#COVID2019,پاکستان,is there anyone else who is sitting at home and blowing all their money online  ,2020-03-18
8947,Warwickshire,Mar,Called in supermarket on way home ?. We are a generation who are used to having plenty instantaneously.  Now is the time to think about others and adjust our behaviours.  #lookoutforothers. #Covid_19,United Kingdom,called in supermarket on way home  we are a generation who are used to having plenty instantaneously  now is the time to think about others and adjust our behaviours  lookoutforothers  ,2020-03-20
11449,"South West, England",Mar,#Westminster @HouseofCommons #Parliament @BBCBreakfast @GMB #GMB @MattHancock @NHSuk @NHSEngland @gmcuk #NHS #CoronaVirus #Covid_19 #hysteriavirus Empty #supermarket shelves is the fault of the #supermarkets for not limiting purchases much earlier on ?Can't get the basics ???,United Kingdom,westminster houseofcommons parliament bbcbreakfast gmb gmb matthancock nhsuk nhsengland gmcuk nhs coronavirus   hysteriavirus empty supermarket shelves is the fault of the supermarkets for not limiting purchases much earlier on cant get the basics ,2020-03-20
5113,Villain Park ???????,Mar,"London supermarket chaos: Fight erupts in Tesco as coronavirus panic grips Britain - VIDEO https://t.co/HwZA8Fytqh

It was bound to happen ?

#covid19UK #ChinaLiedPeopleDied #PMQs #FightCOVID19 #coronavirus #ChineseVirus",France,london supermarket chaos fight erupts in tesco as coronavirus panic grips britain  video it was bound to happen   chinaliedpeopledied pmqs   coronavirus chinesevirus,2020-03-18
16366,Around the world,Mar,Greece imposes lockdown after coronavirus infections jump https://t.co/2ToqT44sIA https://t.co/a3DHJcDLjY,Canada,greece imposes lockdown after coronavirus infections jump  ,2020-03-22
22894,UK,Mar,"@ChristineEasda1 QEll Will be alright, no doubt about that, she won't be shoved on her rear posterior, while buying a loo roll by some idiot. But plenty of frail old people &amp; sick are now thanks to idiots #supermarket greed unable to buy any goods onl",United Kingdom,  qell will be alright no doubt about that she wont be shoved on her rear posterior while buying a loo roll by some idiot but plenty of frail old people amp sick are now thanks to idiots supermarket greed unable to buy any goods onl,2020-03-25
3291,"Sacramento, California",Mar,"California Launches New Comprehensive, Consumer-Friendly Website and Public Service Announcements to Boost COVID-19 Awareness https://t.co/asO4ZgDVO9 @Cal_OES",United States,california launches new comprehensive consumerfriendly website and public service announcements to boost   awareness  caloes,2020-03-18
19668,"Moscow, Russian Federation",Mar,"Called by a supermarket, not a single roll of #toiletpaper to be seen. Seriously, WTF is wrong with you people? Have all the Brits got the shits? #COVIDIDIOTS #COVID19 #coronavirus #COVID2019 #coronavirus #ToiletPaperPanic #ToiletPaperApocalypse #ToiletPaperEmergency",Россия,called by a supermarket not a single roll of toiletpaper to be seen seriously wtf is wrong with you people have all the brits got the shits covididiots   coronavirus   coronavirus toiletpaperpanic toiletpaperapocalypse toiletpaperemergency,2020-03-24
20662,"Accra, Ghana",Mar,The   spent trillions in developing its military for defense among each other Little did we know we were going to be hit hard just because we don t have enough amp,Ghana,the   spent trillions in developing its military for defense among each other little did we know we were going to be hit hard just because we don t have enough amp,2020-03-25
12505,York,Mar,"If you know someone working in a supermarket, give them a call/text/etc cos they are having to put up with quite a bit of responsibility right now and might need a bit of support as well #Covid_19",United Kingdom,if you know someone working in a supermarket give them a calltextetc cos they are having to put up with quite a bit of responsibility right now and might need a bit of support as well  ,2020-03-21
15638,,Mar,Everyone needs to be wearing #gloves and #masks practice social distancing by crossing the road avoiding people stay 2 meters away enforce supermarket social distancing lines.... #coronaviruslondon #coronavirus #BorisJohnson,Italia,everyone needs to be wearing gloves and masks practice social distancing by crossing the road avoiding people stay   meters away enforce supermarket social distancing lines coronaviruslondon coronavirus borisjohnson,2020-03-22
24729,"Victoria, Australia",Mar,@azzaG77 See info from us on travel refunds and cancellations due to #coronavirus https://t.co/uX81zxJA5y and from @acccgovau https://t.co/TK7NvOq3Ri,Australia,  see info from us on travel refunds and cancellations due to coronavirus  and from acccgovau ,2020-03-27
6525,"London, England",Mar,"Many doctors I speak to are used to being taken for granted. Many of us have been abused, screamed at, insulted, threatened and maligned. We accept it, because we know that those we help are at the extreme of suffering.",United Kingdom,many doctors i speak to are used to being taken for granted many of us have been abused screamed at insulted threatened and maligned we accept it because we know that those we help are at the extreme of suffering,2020-03-19
12266,global,Mar,NHS staff definitely front line troops but a shout out to supermarket staff who are doing a great job customer facing and facing customers 19,Canada,nhs staff definitely front line troops but a shout out to supermarket staff who are doing a great job customer facing and facing customers  ,2020-03-21
18511,"Tampa, FL",Mar,"Oh #SilentHill2 ....how times have changed....

#SilentHill #coronavirus #toiletpaper https://t.co/WL1lPmXYF3",United States,oh   how times have changedsilenthill coronavirus toiletpaper ,2020-03-23
7653,"Chilliwack, British Columbia",Mar,Young Street Supermarket in #Chilliwack (which is on Young Road ?) is selling individual rolls of toilet paper for $2.49. #coronavirus #covid19 https://t.co/kQybWthMYI,Canada,young street supermarket in chilliwack which is on young road  is selling individual rolls of toilet paper for   coronavirus   ,2020-03-19
21468,"El Dorado Hills, CA",Mar,"modrnhealthcr: U.S. #healthcare spending is expected to grow at an average annual rate of 5.4% from 2019 to 2028, fueled by higher prices, according to a new report. The projections do not account for the #COVID-19 #pandemic. https://t.co/JmWW5tM8kJ",United States,modrnhealthcr us healthcare spending is expected to grow at an average annual rate of   from   to   fueled by higher prices according to a new report the projections do not account for the   pandemic ,2020-03-25
18980,Southern California,Mar,Corona Virus Disease Cover of Love Removal Machine by The Cult Watch the full version on YouTube If you took more than you need give your excess away,United States,corona virus disease cover of love removal machine by the cult watch the full version on youtube if you took more than you need give your excess away,2020-03-24
19685,Philadelphia - Harrisburg ,Mar,Pa update   To date there are 851 confirmed COVID 19 cases in Pennsylvania   State officials are urging Pennsylvanians to be  more measured  in their grocery shopping Stay with us  ,United States,pa update   to date there are   confirmed covid   cases in pennsylvania   state officials are urging pennsylvanians to be  more measured  in their grocery shopping stay with us  ,2020-03-24
18807,melbourne,Mar,"With the health and wellbeing of our people and customers as a top priority, Medibank is making changes to its retail store network. #covid-19 #healthcare #retail https://t.co/oyCrqKKgx8",Australia,with the health and wellbeing of our people and customers as a top priority medibank is making changes to its retail store network   healthcare retail ,2020-03-23
1330,,Mar,"Coronavirus Update: Supply Chain, Food Shortages, Stock Market https://t.co/JpGMR5HcSc #Pandemic #Coronavirus #COVID-19 #supplychain #economy #disease #infectious",Italia,coronavirus update supply chain food shortages stock market  pandemic coronavirus   supplychain economy disease infectious,2020-03-17
5610,"East Midlands, England",Mar,Thread COVID 19 and Food a People need food otherwise they die b To get food people are going to supermarkets c Because they are worried about food supplies they are spending a long time in supermarket queues 1 4,United Kingdom,thread covid   and food a people need food otherwise they die b to get food people are going to supermarkets c because they are worried about food supplies they are spending a long time in supermarket queues    ,2020-03-19
6474,Global newsroom,Mar,Leveraged loan &amp; #highyield bond prices have dropped in the secondary market as fears around #coronavirus &amp; the slump in #oil prices have jolted financial markets. In this report we look at the impact on key statistics in the secondary market: https://t.co/N24ixc924h,,leveraged loan amp highyield bond prices have dropped in the secondary market as fears around coronavirus amp the slump in oil prices have jolted financial markets in this report we look at the impact on key statistics in the secondary market ,2020-03-19
13593,,Mar,What happens to those of us who are high risk and cannot stay home from work I have asthma and work in a grocery store 19,Italia,what happens to those of us who are high risk and cannot stay home from work i have asthma and work in a grocery store  ,2020-03-21
27295,Kinross,Mar,The has forced the 44 year old staff member into an induced coma in intensive care for five days,United States,the has forced the   year old staff member into an induced coma in intensive care for five days,2020-03-04
6101,,Mar,"Me but with different wipes and sanitizers going to the grocery store #coronavirus 
Kevin Garnett Is Ready for War https://t.co/a92bZPsCFO via @YouTube",Italia,me but with different wipes and sanitizers going to the grocery store coronavirus kevin garnett is ready for war  via youtube,2020-03-19
19909,"Seattle, WA",Mar,This is UNACCEPTABLE is not a rare disease and they have no right letting Gilead have complete control of ANY drugs or treatment for This will mean they can set prices however high they want AND limit the supply Call you representatives NOW,United States,this is unacceptable is not a rare disease and they have no right letting gilead have complete control of any drugs or treatment for this will mean they can set prices however high they want and limit the supply call you representatives now,2020-03-24
9243,"San Antonio, TX",Mar,"The times we are currently living: I made my online grocery shopping last weekend and will pick up tomorrow. I'm now ordering my next weekend's pick up. #socialdistancing
#coronavirus 
#Covid19",United States,the times we are currently living i made my online grocery shopping last weekend and will pick up tomorrow im now ordering my next weekends pick up socialdistancingcoronavirus  ,2020-03-20
8322,Atlanta,Mar,?These are the current grocery store hours around metro Atlanta. Please respect the senior shopping hours to help some of the most vulnerable customers and limit potential spread of COVID-19. https://t.co/EVu8JVVyC9,United States,these are the current grocery store hours around metro atlanta please respect the senior shopping hours to help some of the most vulnerable customers and limit potential spread of   ,2020-03-19
16034,,Mar,My son just got sent home because #Publix ran out of frozen food to stock. #coronavirus #Hoarding,Italia,my son just got sent home because publix ran out of frozen food to stock coronavirus hoarding,2020-03-22
2296,"Collingwood, ON",Mar,"Stay at home people take care of yourself and your loved ones #coronavirus stay safe, and stop hoarding tp and soap. Your clean hands won't matter if no one else's are. 
#coronavirus  #toiletpaper #stayhomechallenge #stockup",Canada,stay at home people take care of yourself and your loved ones coronavirus stay safe and stop hoarding tp and soap your clean hands wont matter if no one elses are coronavirus  toiletpaper stayhomechallenge stockup,2020-03-17
16204,"Fort Worth, TX",Mar,"@dvdpeters @HobbyLobby Their website's Covid-19 chiron clearly states they are keeping stores extra clean for your shopping needs (sending symptomatic employees home, no worries!) &amp; ""if you prefer to shop online"" free ship orders of $50+. Never mind m",United States,dvdpeters hobbylobby their websites   chiron clearly states they are keeping stores extra clean for your shopping needs sending symptomatic employees home no worries amp if you prefer to shop online free ship orders of   never mind m,2020-03-22
15905,"St. Louis, Missouri, USA",Mar,? ? Score! I got some TP... TP for my bunghole... limit 1 pack per household but at least I got some. ?  ?#tpformybunghole #toiletpaper #coronavirus #coronavirustoiletpaper #? https://t.co/G7ClU7YiAy,United States,  score i got some tp tp for my bunghole limit   pack per household but at least i got some   tpformybunghole toiletpaper coronavirus coronavirustoiletpaper  ,2020-03-22
21806,United Kingdom,Mar,We've just posted a list of some of the #Coronavirus-related online scams we've heard about. Check it out so you can be aware https://t.co/dnXbx7J3tB https://t.co/lLzOn1bsrG,United Kingdom,weve just posted a list of some of the coronavirusrelated online scams weve heard about check it out so you can be aware  ,2020-03-25
15805,"North Carolina, USA",Mar,"Everyone has been cooperative with our #coronavirus protocol when coming to view puppies. We have each visitor use hand sanitizer before picking up a puppy &amp; we maintain at least 6 feet of social distance.  After visits, we bathe the puppies &amp; Lysol surfaces just to be safe! https://t.co/toqnFRBc8j",United States,everyone has been cooperative with our coronavirus protocol when coming to view puppies we have each visitor use hand sanitizer before picking up a puppy amp we maintain at least   feet of social distance  after visits we bathe the puppies amp lysol surfaces just to be safe ,2020-03-22
8299,Bishops Stortford,Mar,No one out and about much yet. Probably all at the supermarket #coronavirus #panic @StortfordIndie ?? https://t.co/SDVqXp070g,United Kingdom,no one out and about much yet probably all at the supermarket coronavirus panic stortfordindie  ,2020-03-19
1909,"Flower Mound, Texas",Mar,"COVID-19 has already had a hugely negative impact on the economy and small businesses, we recommend shopping online at your local and beloved brands and share the love! ?? 
Be safe and stay well!
#themarshacrawfordteam #marsha+candisteam #compassrealestate https://t.co/3rnjqGgMtt",United States,  has already had a hugely negative impact on the economy and small businesses we recommend shopping online at your local and beloved brands and share the love  be safe and stay wellthemarshacrawfordteam marshacandisteam compassrealestate ,2020-03-17
27397,USA,Mar,"In this short study, you can see that the concern over the Coronavirus impacting ones lifestyle has held study for the most part from the first week of March to the second week.

#justintimeCX #consumer #data #Coronavirus @goodhealth @B2Community @debweinswig @annettefranz https://t.co/qv4dRy50az",United States,in this short study you can see that the concern over the coronavirus impacting ones lifestyle has held study for the most part from the first week of march to the second weekjustintimecx consumer data coronavirus goodhealth   debweinswig annettefranz ,2020-03-04
23442,"Savannah, GA",Mar,Why is professional certified help being turned away and told to go volunteer at local food bank?  Something smells fishy with this virus scam that's creating needless panic #CoronavirusOutbreak #coronavirus #TrustThePlan #WWG1WGA https://t.co/SvSPRzPV9p,Ghana,why is professional certified help being turned away and told to go volunteer at local food bank  something smells fishy with this virus scam thats creating needless panic coronavirusoutbreak coronavirus trusttheplan   ,2020-03-26
22870,DC,Mar,"#Marketers are urged to employ AR to #engage w/ #consumers self-isolating during the #coronavirus #pandemic - #AR has the capacity to drive consumer experiences &amp; purchases that otherwise have halted during the shutdown.
-
#marketing #digital #MarTech #CX  https://t.co/5QHAZpTCn4",Colombia,marketers are urged to employ ar to engage w consumers selfisolating during the coronavirus pandemic  ar has the capacity to drive consumer experiences amp purchases that otherwise have halted during the shutdownmarketing digital martech cx  ,2020-03-25
3231,,Mar,"To all of you who are panic buying... STOP. Stop being so selfish. We all need food and supplies, and you are not entitled to more than anyone else. #panicbuying #panicshopping #StopPanicBuying #coronavirus #selfish",Italia,to all of you who are panic buying stop stop being so selfish we all need food and supplies and you are not entitled to more than anyone else panicbuying panicshopping stoppanicbuying coronavirus selfish,2020-03-18
7999,,Mar,Sad to see local branch of @OneBelowUK more than tripling the prices of paracetamol and ibuprofen in the past 10 days. During the #pandemic it is irresponsible and even more so when neighbouring shops remain at their pre-pandemic prices. #coronavirus,Italia,sad to see local branch of onebelowuk more than tripling the prices of paracetamol and ibuprofen in the past   days during the pandemic it is irresponsible and even more so when neighbouring shops remain at their prepandemic prices coronavirus,2020-03-19
8604,,Mar,Thank you doctors nurses amp other healthcare providers police firefighters EMTs amp 911 dispatchers grocery store workers postal workers broadband phone techs local TV radio broadcasters construction crews those keeping lights on amp water running 19,Italia,thank you doctors nurses amp other healthcare providers police firefighters emts amp   dispatchers grocery store workers postal workers broadband phone techs local tv radio broadcasters construction crews those keeping lights on amp water running  ,2020-03-20
27381,"Leeds, England",Mar,"?Heartbreaking scenes as thirteen-year-old Ismail Mohamed Abdulwahab is buried without his family present, as his mother &amp; siblings self-isolate.The teenager died alone in hospital after testing positive for the coronavirus.?taken with his families' permission by @aaronchown? https://t.co/and5k30f1T",United Kingdom,heartbreaking scenes as thirteenyearold ismail mohamed abdulwahab is buried without his family present as his mother amp siblings selfisolatethe teenager died alone in hospital after testing positive for the coronavirustaken with his families permission by aaronchown ,2020-03-04
2925,"Fond du Lac, Wisconsin",Mar,"For the latest updates on COVID-19: https://t.co/ZKiTv2TihW

The Agnesian Health Shoppe is closing its retail store location effective at end of day today, March 18. If you have questions, contact the Agnesian Health Shoppe at (920) 926-5277. https://t.co/DizZ8RVbjJ",United States,for the latest updates on   the agnesian health shoppe is closing its retail store location effective at end of day today march   if you have questions contact the agnesian health shoppe at     ,2020-03-18
15626,,Mar,Just walked into my house and my mom jumps out of nowhere and fully sprays me with a sanitizer spray bottle.#coronavirus,Italia,just walked into my house and my mom jumps out of nowhere and fully sprays me with a sanitizer spray bottlecoronavirus,2020-03-22
8063,Birmingham UK,Mar,More people are going to die of starvation than this virus. Supermarket shelves ransacked. All I wanted was some fucking twiglets. #coronavirus,United Kingdom,more people are going to die of starvation than this virus supermarket shelves ransacked all i wanted was some fucking twiglets coronavirus,2020-03-19
5841,"#Newcastle Upon Tyne, England",Mar,"#Gold to remain attractive investment asset despite impact of Covid-19

The World Gold Council (WGC) said today that ""deceleration"" in economic growth globally will undoubtedly impact on consumer demand for gold.

Buy on the dips!

https://t.co/qTpPr1hA99",United Kingdom,gold to remain attractive investment asset despite impact of   world gold council wgc said today that deceleration in economic growth globally will undoubtedly impact on consumer demand for goldbuy on the dips,2020-03-19
20358,"London, England",Mar,PE Maps daily update on effects on the energy industry s oil and gas prices Most of Europe is in lockdown will the follow suit Has the market stablised See our graph story here,United Kingdom,pe maps daily update on effects on the energy industry s oil and gas prices most of europe is in lockdown will the follow suit has the market stablised see our graph story here,2020-03-25
7544,,Mar,"#Covid19ireland 
#coronavirus
#finglas

*Public service announcement*

The next person to walk into me while I am queuing at the checkout in a supermarket because they are too busy updating their Social Media will get knocked out. I don't care if your male or female. 

Thank you",Italia,  coronavirusfinglaspublic service announcementthe next person to walk into me while i am queuing at the checkout in a supermarket because they are too busy updating their social media will get knocked out i dont care if your male or female thank you,2020-03-19
8933,,Mar,Prices surge past 500 for fish tank cleaner that uses same ingredient as anti malaria drug fast tracked to treat coronavirus patients but it is NOT safe for people,Italia,prices surge past   for fish tank cleaner that uses same ingredient as anti malaria drug fast tracked to treat coronavirus patients but it is not safe for people,2020-03-20
20530,Global,Mar,We launched the COVID 19 MENA sentiment tracker to monitor public opinion and changing social behaviors The poll covers residents of 7 markets across the region and,Canada,we launched the covid   mena sentiment tracker to monitor public opinion and changing social behaviors the poll covers residents of   markets across the region and,2020-03-25
4206,,Mar,#Florida residents working hard to drive real estate prices down and making my winter home dreams a reality!!! Thanks guys! I knew I could count on you as well!!!! #CNN #coronavirus https://t.co/cguqUHGWZh,Italia,florida residents working hard to drive real estate prices down and making my winter home dreams a reality thanks guys i knew i could count on you as well cnn coronavirus ,2020-03-18
3317,"GTA, Canada",Mar,"Before any cries of food/consumer goods price gouging set in amongst Cdns, please consider
1) our dollar is plummeting. Wholesalers &amp; grocers facing price increases. 
2) margins are extremely thin in some categories. Neither grocers, nor wholesalers can carry those inc
#COVID2019",Canada,before any cries of foodconsumer goods price gouging set in amongst cdns please   our dollar is plummeting wholesalers amp grocers facing price increases   margins are extremely thin in some categories neither grocers nor wholesalers can carry those  ,2020-03-18
21459,"New York, NY",Mar,"Consumer Reports Opposes Efforts to Delay CCPA Enforcement Due to COVID-19
https://t.co/69lHht1iew https://t.co/qgOonzDj6j",United States,consumer reports opposes efforts to delay ccpa enforcement due to   ,2020-03-25
11379,"Moline, IL",Mar,"5 digital trends in #COVID-19 world:
?Availability is compromised
?Making smart communication choices
?Store survival in play
?Changing customer needs can be addressed
?Show the shopper some love

#BOPIS #OnlineShopping #eCommerce #Retail #Coronavirus https://t.co/3Da5XpvX3E",United States,  digital trends in   worldavailability is compromisedmaking smart communication choicesstore survival in playchanging customer needs can be addressedshow the shopper some lovebopis onlineshopping ecommerce retail coronavirus ,2020-03-20
14985,"Karachi, Pakistan",Mar,For one hour every day this supermarket in Australia is opened only to the elderly and people with disabilities after the outbreak led to panic buying,پاکستان,for one hour every day this supermarket in australia is opened only to the elderly and people with disabilities after the outbreak led to panic buying,2020-03-22
12922,"Calgary, Alberta",Mar,Brescia Lombardy A 48 y o supermarket cashier has died She had a high fever and called in sick on Monday A mayor dead in Emilia Romagna In Lazio a whole nuns institute tests positive Almost 1 out of 10 cases is a medic So far 18 medical staff dead 19,Canada,brescia lombardy a   y o supermarket cashier has died she had a high fever and called in sick on monday a mayor dead in emilia romagna in lazio a whole nuns institute tests positive almost   out of   cases is a medic so far   medical staff dead  ,2020-03-21
22006,"Brighton, England",Mar,"Notes from a #coronavirus shopping trip #shoplocal Vegetable prices through the roof! Most stuff up a bit. Inflationary pressures abound. But mainly why is the only soup remaining, all Pea and Ham? Kids must be forced to eat green stuff. #IfIwerePrimeminister",United Kingdom,notes from a coronavirus shopping trip shoplocal vegetable prices through the roof most stuff up a bit inflationary pressures abound but mainly why is the only soup remaining all pea and ham kids must be forced to eat green stuff ifiwereprimeminister,2020-03-25
24028,,Mar,I am also absolutely sick to my stomach about the loss of the store s owner said,Italia,i am also absolutely sick to my stomach about the loss of the store s owner said,2020-03-26
1947,"Washington, DC",Mar,"The lack of solid evidence supporting the effectiveness of masks against the virus is no reason to dismiss it,""

The gov't MISUSED INCONCLUSIVE EVIDENCE b/c our consumer-capitalist economy failed to meet demand of the environment they created #COVID2019 

https://t.co/lbNPSTjnzc",United States,the lack of solid evidence supporting the effectiveness of masks against the virus is no reason to dismiss itthe govt misused inconclusive evidence bc our consumercapitalist economy failed to meet demand of the environment they created   ,2020-03-17
24743,Global newsroom,Mar,"@VedantaLimited is likely to experience a substantial credit profile deterioration in the coming 12-18 months because of the collapse in commodity prices.

Click here for the full report: https://t.co/7Qd62EaKxH

#oilandgas #creditreport #coronavi",,vedantalimited is likely to experience a substantial credit profile deterioration in the coming   months because of the collapse in commodity pricesclick here for the full report oilandgas creditreport coronavi,2020-03-27
6277,"Arizona, USA",Mar,"Did you know China &amp; Russia share a physical 2,615.5 mi border?
Since the Chinese virus outbreak 
0 deaths have occurred in Russia &amp; only 147 confirmed cases.
Why have no deaths occurred in Russia due to the Coronavirus?
File this under: things the 
Democrat Media wont tell you.",United States,did you know china amp russia share a physical   mi bordersince the chinese virus outbreak   deaths have occurred in russia amp only   confirmed caseswhy have no deaths occurred in russia due to the coronavirusfile this under things the democrat media wont tell you,2020-03-19
1941,,Mar,"Dear supply chain, supermarket and pharmacies employees,
Thank you for your service. ??
Thank you for doing your jobs so we can #StayAtHome without worry
@DelhaizeBelgium @bpost_fr @bpostmedia @UPS @amazonDE @CarrefourGroup

#COVID2019 #stayhomechallenge
 #coronavirus #COVID19BE",Italia,dear supply chain supermarket and pharmacies employeesthank you for your service thank you for doing your jobs so we can stayathome without worrydelhaizebelgium bpostfr bpostmedia ups amazonde   stayhomechallenge coronavirus  ,2020-03-17
11767,Maz?tl?n,Mar,"People who overcame panic and have decided to put their workforce so that ALL of us can have food and supplies of first need.
In this critical situation it is evident who are the ones who move the WORLD, the ENTREPRENEURS and THE Workers. (2) #Covid_19 #CoronavirusOutbreak",,people who overcame panic and have decided to put their workforce so that all of us can have food and supplies of first needin this critical situation it is evident who are the ones who move the world the entrepreneurs and the workers     coronavirusoutbreak,2020-03-20
10909,"Cheadle, Cheshire",Mar,"You don't say! ?

#Coronavirus -#Rightmove warns UK property market facing sharp slowdown https://t.co/zGhMkgaBqr via @Yahoo",United Kingdom,you dont say coronavirus rightmove warns uk property market facing sharp slowdown  via yahoo,2020-03-20
23289,UK,Mar,"Does anyone not feel like there are more key workers than there are non key workers? Went to the shop for essentials yesterday busy as anything lots of cars, people????? everywhere. Supermarket was full, every isle 5+ people I had to leave. Is this working?#COVID2019",United Kingdom,does anyone not feel like there are more key workers than there are non key workers went to the shop for essentials yesterday busy as anything lots of cars people everywhere supermarket was full every isle   people i had to leave is this  ,2020-03-25
13506,Republic of the Philippines,Mar,Fuel prices down. Less traffic everywhere. Ideal driving conditions. But we all need to stay indoors. Be grateful that you have a home. Stay safe fam. #covid_19 @ Metro Manila https://t.co/QAk5nIeRyB,Philippines,fuel prices down less traffic everywhere ideal driving conditions but we all need to stay indoors be grateful that you have a home stay safe fam    metro manila ,2020-03-21
4341,"Montreal, QC",Mar,"#Ulta #shutters #stores shortly after cutting #services, store hours https://t.co/uPEcwUXjz5 via @RetailDive #retail #cosmetics #pandemic #COVID-19 #layoffs #closures #brickandmortar #footprint",Canada,ulta shutters stores shortly after cutting services store hours  via retaildive retail cosmetics pandemic   layoffs closures brickandmortar footprint,2020-03-18
22424,London,Mar,"@GMB @DrHilaryJones @piersmorgan @susannareid100 @GMB can you #AskDrH since they haven't responded to my tweets. 
How is it OK going into a Fast food restaurant/ Supermarket queuing up than sitting in a restaurant? (Cinema/Theatre)Where you could contro",United Kingdom,gmb drhilaryjones piersmorgan   gmb can you askdrh since they havent responded to my tweets how is it ok going into a fast food restaurant supermarket queuing up than sitting in a restaurant cinematheatrewhere you could contro,2020-03-25
21423,"Morris County, New Jersey",Mar,Scammers are trying to capitalize on people's fears over the COVID-19 pandemic. Here are some scams to watch out for. https://t.co/gDqowW8WzP,United States,scammers are trying to capitalize on peoples fears over the   pandemic here are some scams to watch out for ,2020-03-25
3435,,Mar,"Because of the #CoronaVirus my parents now have social anxiety... My mom told me that when she went to the grocery store to buy things,she felt so scared and she started to feel really really bad, every person she saw was like the virus in person for her...",Italia,because of the coronavirus my parents now have social anxiety my mom told me that when she went to the grocery store to buy thingsshe felt so scared and she started to feel really really bad every person she saw was like the virus in person for her,2020-03-18
24216,"Baltimore, MD",Mar,"It's crazy how going to the grocery store is such an anxious experience now!  You do not want to get close to other people. They do not want to get close to you. Everything sold out. Sometimes long lines! You forget what you came in the store for.

#coronavirus
#COVID19
#anxiety",United States,its crazy how going to the grocery store is such an anxious experience now  you do not want to get close to other people they do not want to get close to you everything sold out sometimes long lines you forget what you came in the store  ,2020-03-26
